eventID,eventDate,station,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,countryCode,maximumDepthInMeters
BS1-4-9-2015-0,2015-04-09,BS1,49.6082,-124.8681,WSGS84,300,CA,0
BS1-5-10-2018-0,2018-05-10,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-12-2017-0,2017-05-12,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-16-2016-0,2016-05-16,BS1,49.6079,-124.8666,WSGS84,300,CA,0
BS1-5-17-2015-0,2015-05-17,BS1,49.6077,-124.8661,WSGS84,300,CA,0
BS1-5-18-2018-0,2018-05-18,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-23-2016-0,2016-05-23,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-25-2015-0,2015-05-25,BS1,49.6082,-124.8685,WSGS84,300,CA,0
BS1-5-28-2023-0,2023-05-28,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-31-2018-0,2018-05-31,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-6-2017-0,2017-05-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-6-2023-0,2023-05-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-9-2016-0,2016-05-09,BS1,49.6082,-124.8674,WSGS84,300,CA,0
BS1-6-13-2017-0,2017-06-13,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-14-2018-0,2018-06-14,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-15-2016-0,2016-06-15,BS1,49.6087,-124.8668,WSGS84,300,CA,0
BS1-6-15-2023-0,2023-06-15,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-18-2015-0,2015-06-18,BS1,49.6082,-124.867,WSGS84,300,CA,0
BS1-6-20-2018-0,2018-06-20,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-22-2017-0,2017-06-22,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-25-2023-0,2023-06-25,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-28-2016-0,2016-06-28,BS1,49.6049,-124.8663,WSGS84,300,CA,0
BS1-6-6-2017-0,2017-06-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-8-2016-0,2016-06-08,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-7-15-2015-0,2015-07-15,BS1,49.6084,-124.8667,WSGS84,300,CA,0
BS1-7-16-2023-0,2023-07-16,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-7-17-2017-0,2017-07-17,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-7-20-2016-0,2016-07-20,BS1,49.6083,-124.8669,WSGS84,300,CA,0
BS1-7-25-2018-0,2018-07-25,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-7-26-2016-0,2016-07-26,BS1,49.6076,-124.8674,WSGS84,300,CA,0
BS1-7-5-2018-0,2018-07-05,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-7-7-2017-0,2017-07-07,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-1-2017-0,2017-08-01,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-1-2018-0,2018-08-01,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-14-2017-0,2017-08-14,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-15-2015-0,2015-08-15,BS1,49.6081,-124.8669,WSGS84,300,CA,0
BS1-8-16-2018-0,2018-08-16,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-19-2023-0,2023-08-19,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-2-2016-0,2016-08-02,BS1,49.6094,-124.8693,WSGS84,300,CA,0
BS1-8-21-2017-0,2017-08-21,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-22-2016-0,2016-08-22,BS1,49.6083,-124.867,WSGS84,300,CA,0
BS1-8-23-2018-0,2018-08-23,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-27-2023-0,2023-08-27,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-5-2015-0,2015-08-05,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-8-2017-0,2017-08-08,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-8-9-2016-5,2016-08-09,BS1,49.6085,-124.8677,WSGS84,300,CA,5
BS1-9-14-2015-0,2015-09-14,BS1,49.6079,-124.867,WSGS84,300,CA,0
BS1-9-21-2016-0,2016-09-21,BS1,49.6083,-124.8668,WSGS84,300,CA,0
BS1-9-25-2018-0,2018-09-25,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-9-26-2017-0,2017-09-26,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-9-6-2017-0,2017-09-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
